//
// Esta lista se usa para corregigir palabras en los nombres de 
// cualquier cosa poniendole la Ñ segun la version 3.1
//
// PosiblesPalabras(separados por '|'),Palabra Final
SEAUTO EL VINEDO (SEAT)|SEAUTO EL VIÑEDO (SEAT)
SEGUNDO CRUCE HACA CABANAS SAN BENITO|SEGUNDO CRUCE HACA CABAÑAS SAN BENITO
SUBWAY´S (EL VINEDO)|SUBWAY´S (EL VIÑEDO)
SUPERBANOS LAS MERCEDES|SUPERBAÑOS LAS MERCEDES
SUPERTEQUENOS|SUPERTEQUEÑOS
TALLER LOS ESPANOLES|TALLER LOS ESPAÑOLES
TANQUE AGUA DE EL CASTANO N. 2|TANQUE AGUA DE EL CASTAÑO N. 2
TANQUE DE AGUA DE LA COMUNIDAD Y PEQUENO PARQUE INFANTIL|TANQUE DE AGUA DE LA COMUNIDAD Y PEQUEÑO PARQUE INFANTIL
TASCABANA|TASCABAÑA
TAXI BOAT PENEROS LOS CAYOS|TAXI BOAT PEÑEROS LOS CAYOS
TERESA CARRENO|TERESA CARREÑO
TODO SUENOS|TODO SUEÑOS
TORRE LA CAMPINA|TORRE LA CAMPIÑA
TORRE LA VINA PLAZA|TORRE LA VIÑA PLAZA
TRANSPORTE SANTO NINO|TRANSPORTE SANTO NIÑO
U.E. COLEGIO NINO JESUS|U.E. COLEGIO NIÑO JESUS
U.E.GLADYS BRICENO MENDEZ|U.E.GLADYS BRICEÑO MENDEZ
UE JOSE MARIA ESCURENA|UE JOSE MARIA ESCUREÑA
UNIV. SANTIAGO MARINO II|UNIV. SANTIAGO MARIÑO II
"UNIVERSIDAD PRIVADA ""SANTIAGO MARINO""|UNIVERSIDAD PRIVADA ""SANTIAGO MARIÑO"""
UNIVERSIDAD SANTIAGO MARINO|UNIVERSIDAD SANTIAGO MARIÑO
URB TERRAZAS DEL CASTANO|URB TERRAZAS DEL CASTAÑO
URB. LA CANADA|URB. LA CAÑADA
URB. MANUEL CEDENO|URB. MANUEL CEDEÑO
URB.CANA DULCE|URB.CAÑA DULCE
URB.CANAVERAL|URB.CAÑAVERAL
URB.LA CAMPINA|URB.LA CAMPIÑA
URBANIZACION 450 ANOS|URBANIZACION 450 AÑOS
VERTICE REGVEN CANO COLORADO|VERTICE REGVEN CAÑO COLORADO
VERTICE REGVEN VALENCIA (LA VINA)|VERTICE REGVEN VALENCIA (LA VIÑA)
VISTA A LOS CANOS DE GUARIQUEN|VISTA A LOS CAÑOS DE GUARIQUEN
YACIMIENTOS ARQUEOLOGICO CERRO BANADOR|YACIMIENTOS ARQUEOLOGICO CERRO BAÑADOR
